 Model , LR , HR , Base LLM , Vision Encoder , Finetuning Data , Finetuning schedule , Download 
 MGM-2B ,336,768, Gemma-2B , CLIP-L , MGM-Instruct , full_ft-1e , ckpt 
 MGM-7B ,336,768, Vicuna-7B-v1.5 , CLIP-L , MGM-Instruct , full_ft-1e , ckpt 
 MGM-13B ,336,768, Vicuna-13B-v1.5 , CLIP-L , MGM-Instruct , full_ft-1e , ckpt 
 MGM-8B ,336,768, LLaMA-3-8B-Instruct , CLIP-L , MGM-Instruct , full_ft-1e , ckpt 
 MGM-8x7B ,336,768, Mixtral-8x7B-Instruct-v0.1 , CLIP-L , MGM-Instruct , full_ft-1e , ckpt 
 MGM-34B ,336,768, Nous-Hermes-2-Yi-34B , CLIP-L , MGM-Instruct , full_ft-1e , ckpt 
 MGM-7B-HD ,672,1536, Vicuna-7B-v1.5 , CLIP-L , MGM-Instruct , full_ft-1e , ckpt 
 MGM-13B-HD ,672,1536, Vicuna-13B-v1.5 , CLIP-L , MGM-Instruct , full_ft-1e , ckpt 
 MGM-8B-HD ,672,1536, LLaMA-3-8B-Instruct , CLIP-L , MGM-Instruct , full_ft-1e , ckpt 
 MGM-8x7B-HD ,672,1536, Mixtral-8x7B-Instruct-v0.1 , CLIP-L , MGM-Instruct , full_ft-1e , ckpt 
 MGM-34B-HD ,672,1536, Nous-Hermes-2-Yi-34B , CLIP-L , MGM-Instruct , full_ft-1e , ckpt 
