 Model , Decoder mothod , P , R , F0.5 
 Transformer-tiny , Beam-search ,53.53,26.36,44.38
 Transformer-base Finetuning , Beam-search ,56.05,46.19,53.76
 Transformer-base Finetuning , Beam-search-LM ,50.68,45.39,49.52
 Transformer-base Finetuning , Beam-search-norm-LM ,51.06,45.43,49.83
 RoGPT2-base , Greedy ,59.02,49.35,56.8
 RoGPT2-base , Beam-search-4 ,65.23,49.26,61.26
 RoGPT2-base , Beam-search-8 ,65.88,49.64,61.84
 RoGPT2-medium , Greedy ,69.97,57.94,67.18
 RoGPT2-medium , Beam-search-4 ,72.46,57.99,69.01
 RoGPT2-medium , Beam-search-8 ,72.24,57.69,68.77
 RoGP2-large , Greedy ,61.9,49.09,58.83
 RoGP2-large , Beam-search-4 ,65.24,49.43,61.32
 RoGP2-large , Beam-search-8 ,64.96,49.22,61.06
 RoGPT2-base , Greedy ,68.67,49.6,63.77
 RoGPT2-base , Beam-search-4 ,71.16,50.53,65.79
 RoGPT2-base , Beam-search-8 ,71.68,50.65,66.18
 RoGPT2-medium , Greedy ,58.21,43.32,54.47
 RoGPT2-medium , Beam-search-4 ,68.31,43.78,61.43
 RoGPT2-medium , Beam-search-8 ,68.68,43.99,61.75
 RoGPT2-large , Greedy ,64.86,41.3,58.22
 RoGPT2-large , Beam-search-4 ,65.57,41.0,58.55
 RoGPT2-large , Beam-search-8 ,65.44,41.09,58.5
