     Task     ,Version,        Metric         ,      Value      
truthfulqa    ,N/A    ,"bleu_acc,none          ",             0.48
,,"bleu_acc_stderr,none   ",             0.02
,,"acc,none               ",             0.46
,,"acc_stderr,none        ",             0.01
,,"bleu_diff,none         ",             1.71
,,"bleu_diff_stderr,none  ",             0.79
,,"rouge2_diff,none       ",             0.79
,,"rouge2_diff_stderr,none",             1.13
,,"rouge2_acc,none        ",             0.41
,,"rouge2_acc_stderr,none ",             0.02
,,"rouge2_max,none        ",            37.06
,,"rouge2_max_stderr,none ",             1.06
,,"rouge1_acc,none        ",             0.49
,,"rouge1_acc_stderr,none ",             0.02
,,"rougeL_acc,none        ",             0.48
,,"rougeL_acc_stderr,none ",             0.02
,,"rougeL_max,none        ",            49.56
,,"rougeL_max_stderr,none ",             0.92
,,"bleu_max,none          ",            27.12
,,"bleu_max_stderr,none   ",             0.83
,,"rougeL_diff,none       ",             1.25
,,"rougeL_diff_stderr,none",             1.02
,,"rouge1_diff,none       ",             1.36
,,"rouge1_diff_stderr,none",             1.01
,,"rouge1_max,none        ",            52.44
,,"rouge1_max_stderr,none ",             0.90
,,alias                  ,truthfulqa       
truthfulqa_gen,      3,"bleu_max,none          ",            27.12
,,"bleu_max_stderr,none   ",             0.83
,,"bleu_acc,none          ",             0.48
,,"bleu_acc_stderr,none   ",             0.02
,,"bleu_diff,none         ",             1.71
,,"bleu_diff_stderr,none  ",             0.79
,,"rouge1_max,none        ",            52.44
,,"rouge1_max_stderr,none ",             0.90
,,"rouge1_acc,none        ",             0.49
,,"rouge1_acc_stderr,none ",             0.02
,,"rouge1_diff,none       ",             1.36
,,"rouge1_diff_stderr,none",             1.01
,,"rouge2_max,none        ",            37.06
,,"rouge2_max_stderr,none ",             1.06
,,"rouge2_acc,none        ",             0.41
,,"rouge2_acc_stderr,none ",             0.02
,,"rouge2_diff,none       ",             0.79
,,"rouge2_diff_stderr,none",             1.13
,,"rougeL_max,none        ",            49.56
,,"rougeL_max_stderr,none ",             0.92
,,"rougeL_acc,none        ",             0.48
,,"rougeL_acc_stderr,none ",             0.02
,,"rougeL_diff,none       ",             1.25
,,"rougeL_diff_stderr,none",             1.02
,,alias                  , - truthfulqa_gen
truthfulqa_mc1,      2,"acc,none               ",             0.37
,,"acc_stderr,none        ",             0.02
,,alias                  , - truthfulqa_mc1
truthfulqa_mc2,      2,"acc,none               ",             0.54
,,"acc_stderr,none        ",             0.02
,,alias                  , - truthfulqa_mc2
