 Benchmark , Metric , Krutrim-1-7B , MN-12B-Instruct , Krutrim-2-12B , llama-3.1-8B , llama-3.3-70B , Gemini-1.5 Flash , GPT-4o 
 IndicSentiment (0-shot) , Accuracy ,0.65,0.7,0.95, 0.05 , 0.96 , 0.99 , 0.98 
 IndicCOPA (0-shot) , Accuracy ,0.51,0.58,0.8, 0.48 , 0.83 , 0.88 , 0.91 
 IndicXParaphrase (0-shot) , Accuracy ,0.67,0.74,0.88, 0.75 , 0.87 , 0.89 , TBD 
 IndicXNLI (0-shot) , Accuracy ,0.47,0.54,0.55, 0.00 , TBD , TBD , TBD 
 IndicQA (0-shot) , Bert Score ,0.9,0.9,0.91, TBD , TBD , TBD , TBD 
 CrossSumIN (1-shot) , chrF++ ,0.04,0.17,0.21, 0.21 , 0.26 , 0.24 , TBD 
 FloresIN Translation xx-en (1-shot) , chrF++ ,0.54,0.5,0.58, 0.54 , 0.60 , 0.62 , 0.63 
 FloresIN Translation en-xx (1-shot) , chrF++ ,0.41,0.34,0.48, 0.37 , 0.46 , 0.47 , 0.48 
 IN22 Translation xx-en (0-shot) , chrF++ ,0.5,0.48,0.57, 0.49 , 0.58 , 0.55 , TBD 
 IN22 Translation en-xx (0-shot) , chrF++ ,0.36,0.33,0.45, 0.32 , 0.42 , 0.44 , TBD 
