 Parameter                   , Value                                                                                                          
 Dataset                     , [HuggingFaceH4/ultrafeedback_binarized](https://huggingface.co/datasets/HuggingFaceH4/ultrafeedback_binarized) 
 Learning rate               , 1e-06                                                                                                          
 Train batch size            , 4                                                                                                              
 Eval batch size             , 8                                                                                                              
 Seed                        , 42                                                                                                             
 Distributed type            , multi-GPU                                                                                                      
 Number of devices           , 8                                                                                                              
 Gradient accumulation steps , 4                                                                                                              
 Total train batch size      , 128                                                                                                            
 Total eval batch size       , 64                                                                                                             
 Optimizer                   ," adamw_8bit with betas=(0.9,0.999) and epsilon=1e-08                                                            "
 LR scheduler type           , cosine                                                                                                         
 LR scheduler warmup ratio   , 0.1                                                                                                            
 Number of epochs            , 2.0                                                                                                            
