 ModelType , Models , Book , Slides , FinancialReport , Textbook , ExamPaper , Magazine , AcademicPapers , Notes , Newspaper , Overall 
 PipelineTools , MinerU ,0.055,0.124,0.033,0.102,0.159,0.072,0.025,0.984,0.171,0.206
 PipelineTools , Marker ,0.074,0.34,0.089,0.319,0.452,0.153,0.059,0.651,0.192,0.274
 PipelineTools , Mathpix ,0.131,0.22,0.202,0.216,0.278,0.147,0.091,0.634,0.69,0.3
 ExpertVLMs , GOT-OCR ,0.111,0.222,0.067,0.132,0.204,0.198,0.179,0.388,0.771,0.267
 ExpertVLMs , Nougat ,0.734,0.958,1.0,0.82,0.93,0.83,0.214,0.991,0.871,0.806
 ExpertVLMs , Dolphin ,0.091,0.131,0.057,0.146,0.231,0.121,0.074,0.363,0.307,0.177
 ExpertVLMs , OCRFlux ,0.068,0.125,0.092,0.102,0.119,0.083,0.047,0.223,0.536,0.149
 GeneralVLMs , GPT4o ,0.157,0.163,0.348,0.187,0.281,0.173,0.146,0.607,0.751,0.316
 GeneralVLMs , Qwen2.5-VL-7B ,0.148,0.053,0.111,0.137,0.189,0.117,0.134,0.204,0.706,0.205
 GeneralVLMs , InternVL3-8B ,0.163,0.056,0.107,0.109,0.129,0.1,0.159,0.15,0.681,0.188
 Mix , MonkeyOCR-3B[Weight] ,0.046,0.12,0.024,0.1,0.129,0.086,0.024,0.643,0.131,0.155
 Mix , MonkeyOCR-3B[Weight] ,0.054,0.203,0.038,0.112,0.138,0.111,0.032,0.194,0.136,0.12
 Mix , MonkeyOCR-pro-3B[Weight] ,0.084,0.129,0.06,0.09,0.107,0.073,0.05,0.171,0.107,0.1
 Mix , MonkeyOCR-pro-1.2B[Weight] ,0.087,0.142,0.059,0.093,0.115,0.085,0.045,0.226,0.122,0.112
