 Model , ArXiv , Old ScansMath , Tables , Old Scans , Headers andFooters , Multicolumn , Long TinyText , Base , Overall 
 GOT OCR ,52.7,52.0,0.2,22.1,93.6,42.0,29.9,94.0, 48.3 ± 1.1 
 Marker ,76.0,57.9,57.6,27.8,84.9,72.9,84.6,99.1, 70.1 ± 1.1 
 MinerU ,75.4,47.4,60.9,17.3,96.6,59.0,39.1,96.6, 61.5 ± 1.1 
 Mistral OCR ,77.2,67.5,60.6,29.3,93.6,71.3,77.1,99.4, 72.0 ± 1.1 
 Nanonets OCR ,67.0,68.6,77.7,39.5,40.7,69.9,53.4,99.3, 64.5 ± 1.1 
 GPT-4o(No Anchor) ,51.5,75.5,69.1,40.9,94.2,68.9,54.1,96.7, 68.9 ± 1.1 
 GPT-4o(Anchored) ,53.5,74.5,70.0,40.7,93.8,69.3,60.6,96.8, 69.9 ± 1.1 
 Gemini Flash 2(No Anchor) ,32.1,56.3,61.4,27.8,48.0,58.7,84.4,94.0, 57.8 ± 1.1 
 Gemini Flash 2(Anchored) ,54.5,56.1,72.1,34.2,64.7,61.5,71.5,95.6, 63.8 ± 1.2 
 Qwen 2 VL(No Anchor) ,19.7,31.7,24.2,17.1,88.9,8.3,6.8,55.5, 31.5 ± 0.9 
 Qwen 2.5 VL(No Anchor) ,63.1,65.7,67.3,38.6,73.6,68.3,49.1,98.3, 65.5 ± 1.2 
 olmOCR v0.1.75(No Anchor) ,71.5,71.4,71.4,42.8,94.1,77.7,71.0,97.8, 74.7 ± 1.1 
 olmOCR v0.1.75(Anchored) ,74.9,71.2,71.0,42.2,94.5,78.3,73.3,98.3, 75.5 ± 1.0 
 MonkeyOCR-pro-3B[Weight] ,83.8,68.8,74.6,36.1,91.2,76.6,80.1,95.3, 75.8 ± 1.0 
 MonkeyOCR-pro-1.2B[Weight] ,80.5,62.9,71.1,32.9,92.2,68.3,74.0,92.6, 71.8 ± 1.1 
