 Model                            , Training Pipeline     , HF Link                                                                     , ModelScope Link                                                                       
 InternVL3.5-1B-Pretrained        , CPT                   , [🤗 link](https://huggingface.co/OpenGVLab/InternVL3_5-1B-Pretrained)        , [🤖 link](https://www.modelscope.cn/models/OpenGVLab/InternVL3_5-1B-Pretrained)        
 InternVL3.5-1B-Instruct          , CPT + SFT             , [🤗 link](https://huggingface.co/OpenGVLab/InternVL3_5-1B-Instruct)          , [🤖 link](https://www.modelscope.cn/models/OpenGVLab/InternVL3_5-1B-Instruct)          
 InternVL3.5-1B-MPO               , CPT + SFT + MPO       , [🤗 link](https://huggingface.co/OpenGVLab/InternVL3_5-1B-MPO)               , [🤖 link](https://www.modelscope.cn/models/OpenGVLab/InternVL3_5-1B-MPO)               
 InternVL3.5-1B                   , CPT + SFT + CascadeRL , [🤗 link](https://huggingface.co/OpenGVLab/InternVL3_5-1B)                   , [🤖 link](https://www.modelscope.cn/models/OpenGVLab/InternVL3_5-1B)                   
 InternVL3.5-2B-Pretrained        , CPT                   , [🤗 link](https://huggingface.co/OpenGVLab/InternVL3_5-2B-Pretrained)        , [🤖 link](https://www.modelscope.cn/models/OpenGVLab/InternVL3_5-2B-Pretrained)        
 InternVL3.5-2B-Instruct          , CPT + SFT             , [🤗 link](https://huggingface.co/OpenGVLab/InternVL3_5-2B-Instruct)          , [🤖 link](https://www.modelscope.cn/models/OpenGVLab/InternVL3_5-2B-Instruct)          
 InternVL3.5-2B-MPO               , CPT + SFT + MPO       , [🤗 link](https://huggingface.co/OpenGVLab/InternVL3_5-2B-MPO)               , [🤖 link](https://www.modelscope.cn/models/OpenGVLab/InternVL3_5-2B-MPO)               
 InternVL3.5-2B                   , CPT + SFT + CascadeRL , [🤗 link](https://huggingface.co/OpenGVLab/InternVL3_5-2B)                   , [🤖 link](https://www.modelscope.cn/models/OpenGVLab/InternVL3_5-2B)                   
 InternVL3.5-4B-Pretrained        , CPT                   , [🤗 link](https://huggingface.co/OpenGVLab/InternVL3_5-4B-Pretrained)        , [🤖 link](https://www.modelscope.cn/models/OpenGVLab/InternVL3_5-4B-Pretrained)        
 InternVL3.5-4B-Instruct          , CPT + SFT             , [🤗 link](https://huggingface.co/OpenGVLab/InternVL3_5-4B-Instruct)          , [🤖 link](https://www.modelscope.cn/models/OpenGVLab/InternVL3_5-4B-Instruct)          
 InternVL3.5-4B-MPO               , CPT + SFT + MPO       , [🤗 link](https://huggingface.co/OpenGVLab/InternVL3_5-4B-MPO)               , [🤖 link](https://www.modelscope.cn/models/OpenGVLab/InternVL3_5-4B-MPO)               
 InternVL3.5-4B                   , CPT + SFT + CascadeRL , [🤗 link](https://huggingface.co/OpenGVLab/InternVL3_5-4B)                   , [🤖 link](https://www.modelscope.cn/models/OpenGVLab/InternVL3_5-4B)                   
 InternVL3.5-8B-Pretrained        , CPT                   , [🤗 link](https://huggingface.co/OpenGVLab/InternVL3_5-8B-Pretrained)        , [🤖 link](https://www.modelscope.cn/models/OpenGVLab/InternVL3_5-8B-Pretrained)        
 InternVL3.5-8B-Instruct          , CPT + SFT             , [🤗 link](https://huggingface.co/OpenGVLab/InternVL3_5-8B-Instruct)          , [🤖 link](https://www.modelscope.cn/models/OpenGVLab/InternVL3_5-8B-Instruct)          
 InternVL3.5-8B-MPO               , CPT + SFT + MPO       , [🤗 link](https://huggingface.co/OpenGVLab/InternVL3_5-8B-MPO)               , [🤖 link](https://www.modelscope.cn/models/OpenGVLab/InternVL3_5-8B-MPO)               
 InternVL3.5-8B                   , CPT + SFT + CascadeRL , [🤗 link](https://huggingface.co/OpenGVLab/InternVL3_5-8B)                   , [🤖 link](https://www.modelscope.cn/models/OpenGVLab/InternVL3_5-8B)                   
 InternVL3.5-14B-Pretrained       , CPT                   , [🤗 link](https://huggingface.co/OpenGVLab/InternVL3_5-14B-Pretrained)       , [🤖 link](https://www.modelscope.cn/models/OpenGVLab/InternVL3_5-14B-Pretrained)       
 InternVL3.5-14B-Instruct         , CPT + SFT             , [🤗 link](https://huggingface.co/OpenGVLab/InternVL3_5-14B-Instruct)         , [🤖 link](https://www.modelscope.cn/models/OpenGVLab/InternVL3_5-14B-Instruct)         
 InternVL3.5-14B-MPO              , CPT + SFT + MPO       , [🤗 link](https://huggingface.co/OpenGVLab/InternVL3_5-14B-MPO)              , [🤖 link](https://www.modelscope.cn/models/OpenGVLab/InternVL3_5-14B-MPO)              
 InternVL3.5-14B                  , CPT + SFT + CascadeRL , [🤗 link](https://huggingface.co/OpenGVLab/InternVL3_5-14B)                  , [🤖 link](https://www.modelscope.cn/models/OpenGVLab/InternVL3_5-14B)                  
 InternVL3.5-30B-A3B-Pretrained   , CPT                   , [🤗 link](https://huggingface.co/OpenGVLab/InternVL3_5-30B-A3B-Pretrained)   , [🤖 link](https://www.modelscope.cn/models/OpenGVLab/InternVL3_5-30B-A3B-Pretrained)   
 InternVL3.5-30B-A3B-Instruct     , CPT + SFT             , [🤗 link](https://huggingface.co/OpenGVLab/InternVL3_5-30B-A3B-Instruct)     , [🤖 link](https://www.modelscope.cn/models/OpenGVLab/InternVL3_5-30B-A3B-Instruct)     
 InternVL3.5-30B-A3B-MPO          , CPT + SFT + MPO       , [🤗 link](https://huggingface.co/OpenGVLab/InternVL3_5-30B-A3B-MPO)          , [🤖 link](https://www.modelscope.cn/models/OpenGVLab/InternVL3_5-30B-A3B-MPO)          
 InternVL3.5-30B-A3B              , CPT + SFT + CascadeRL , [🤗 link](https://huggingface.co/OpenGVLab/InternVL3_5-30B-A3B)              , [🤖 link](https://www.modelscope.cn/models/OpenGVLab/InternVL3_5-30B-A3B)              
 InternVL3.5-38B-Pretrained       , CPT                   , [🤗 link](https://huggingface.co/OpenGVLab/InternVL3_5-38B-Pretrained)       , [🤖 link](https://www.modelscope.cn/models/OpenGVLab/InternVL3_5-38B-Pretrained)       
 InternVL3.5-38B-Instruct         , CPT + SFT             , [🤗 link](https://huggingface.co/OpenGVLab/InternVL3_5-38B-Instruct)         , [🤖 link](https://www.modelscope.cn/models/OpenGVLab/InternVL3_5-38B-Instruct)         
 InternVL3.5-38B-MPO              , CPT + SFT + MPO       , [🤗 link](https://huggingface.co/OpenGVLab/InternVL3_5-38B-MPO)              , [🤖 link](https://www.modelscope.cn/models/OpenGVLab/InternVL3_5-38B-MPO)              
