                      Task                      ,Version,       Metric        ,Value,   ,Stderr
bigbench_causal_judgement                       ,      0,multiple_choice_grade,54.74,±  ,3.62
bigbench_date_understanding                     ,      0,multiple_choice_grade,68.02,±  ,2.43
bigbench_disambiguation_qa                      ,      0,multiple_choice_grade,40.31,±  ,3.06
bigbench_geometric_shapes                       ,      0,multiple_choice_grade,30.36,±  ,2.43
,,exact_str_match      ,2.23,±  ,0.78
bigbench_logical_deduction_five_objects         ,      0,multiple_choice_grade,26.0,±  ,1.96
bigbench_logical_deduction_seven_objects        ,      0,multiple_choice_grade,20.71,±  ,1.53
bigbench_logical_deduction_three_objects        ,      0,multiple_choice_grade,44.0,±  ,2.87
bigbench_movie_recommendation                   ,      0,multiple_choice_grade,35.0,±  ,2.14
bigbench_navigate                               ,      0,multiple_choice_grade,58.4,±  ,1.56
bigbench_reasoning_about_colored_objects        ,      0,multiple_choice_grade,61.8,±  ,1.09
bigbench_ruin_names                             ,      0,multiple_choice_grade,42.41,±  ,2.34
bigbench_salient_translation_error_detection    ,      0,multiple_choice_grade,31.56,±  ,1.47
bigbench_snarks                                 ,      0,multiple_choice_grade,55.25,±  ,3.71
bigbench_sports_understanding                   ,      0,multiple_choice_grade,69.37,±  ,1.47
bigbench_temporal_sequences                     ,      0,multiple_choice_grade,27.7,±  ,1.42
bigbench_tracking_shuffled_objects_five_objects ,      0,multiple_choice_grade,21.36,±  ,1.16
bigbench_tracking_shuffled_objects_seven_objects,      0,multiple_choice_grade,14.69,±  ,0.85
bigbench_tracking_shuffled_objects_three_objects,      0,multiple_choice_grade,44.0,±  ,2.87
