        Setting        , Average<br>Sparsity , Average<br>Performance , Code<br>Generation , Commonsense<br>Reasoning , Reading<br>Comprehension , GSM8K , MMLU  ,  BBH  , AGI Eval 
 LLaMA2-7B    , - ,37.96,16.37,69.59,61.87,12.96,44.45,32.96,27.53
 ReluLLaMA-7B , 66.98 ,37.62,15.85,69.64,70.54,5.84,38.64,35.07,27.73
 ProSparse-7B\ , 88.11 ,38.31,19.47,66.29,63.33,12.74,45.21,33.59,27.55
 ProSparse-7B   , 89.32 ,38.46,19.42,66.27,63.5,12.13,45.48,34.99,27.46
 LLaMA2-13B , - ,44.06,20.19,72.58,71.55,22.21,54.69,37.89,29.33
 ReluLLaMA-13B , 71.56 ,42.74,20.19,70.44,73.29,18.5,50.58,37.97,28.22
 ProSparse-13B\ , 87.97 ,45.07,29.03,69.75,67.54,25.4,54.78,40.2,28.76
 ProSparse-13B   , 88.80 ,44.9,28.42,69.76,66.91,26.31,54.35,39.9,28.67
 MiniCPM-1B , - ,44.44,36.85,63.67,60.9,35.48,50.44,35.03,28.71
 MiniCPM-S-1B\  , 86.25 ,44.72,41.38,64.55,60.69,34.72,49.36,34.04,28.27
 MiniCPM-S-1B    , 87.89 ,44.72,42.04,64.37,60.73,34.57,49.51,34.08,27.77
