 testset , BLEU  , chr-F , #sent , #words , BP 
 newsdiscussdev2015-enfr.eng-fra 	,33.9,0.606,1500,27986,1.0
 newsdiscusstest2015-enfr.eng-fra 	,40.8,0.649,1500,28027,1.0
 newssyscomb2009.eng-fra 	,30.0,0.587,502,12334,1.0
 news-test2008.eng-fra 	,27.5,0.556,2051,52685,1.0
 newstest2009.eng-fra 	,29.9,0.58,2525,69278,0.99
 newstest2010.eng-fra 	,33.0,0.599,2489,66043,0.996
 newstest2011.eng-fra 	,34.6,0.614,3003,80626,0.977
 newstest2012.eng-fra 	,32.0,0.593,3003,78011,0.99
 newstest2013.eng-fra 	,33.5,0.591,3000,70037,0.979
 Tatoeba-test.eng-fra 	,50.8,0.671,10000,80769,0.981
 tico19-test.eng-fra 	,41.8,0.638,2100,64655,1.0
